variable,variable_label,value_labels,r_class,missing_n,missing_percent,unique_n
caseid,case identification,NA,character,0,0,15093
pidx,pregnancy column number,NA,numeric,0,0,5
v000,country code and phase,NA,character,0,0,1
v001,cluster number,NA,numeric,0,0,1369
v002,household number,NA,numeric,0,0,203
v003,respondent's line number,NA,numeric,0,0,22
v004,ultimate area unit,NA,numeric,0,0,1369
v005,women's individual sample weight (6 decimals),NA,numeric,0,0,1367
v006,month of interview,NA,numeric,0,0,6
v007,year of interview,NA,numeric,0,0,2
v008,date of interview (cmc),NA,numeric,0,0,6
v008a,date of interview century day code (cdc),NA,numeric,0,0,153
v009,respondent's month of birth,NA,numeric,0,0,12
v010,respondent's year of birth,NA,numeric,0,0,35
v011,date of birth (cmc),NA,numeric,0,0,411
v012,respondent's current age,NA,numeric,0,0,35
v013,age in 5-year groups,15-19 = 1 | 20-24 = 2 | 25-29 = 3 | 30-34 = 4 | 35-39 = 5 | 40-44 = 6 | 45-49 = 7,"haven_labelled, vctrs_vctr, double",0,0,7
v014,completeness of age information,month and year - information complete = 1 | month and age - year imputed = 2 | year and age - month imputed = 3 | year and age - year ignored = 4 | year - age/month imputed = 5 | age - year/month imputed = 6 | month - age/year imputed = 7 | none - all imputed = 8,"haven_labelled, vctrs_vctr, double",0,0,4
v015,result of individual interview,completed = 1 | not at home = 2 | postponed = 3 | refused = 4 | partially completed = 5 | respondent incapacitated = 6 | other = 7,"haven_labelled, vctrs_vctr, double",0,0,1
v016,day of interview,NA,numeric,0,0,31
v017,cmc start of calendar,NA,numeric,0,0,1
v018,row of month of interview,no calendar = 0,"haven_labelled, vctrs_vctr, double",0,0,6
v019,length of calendar,no calendar = 0,"haven_labelled, vctrs_vctr, double",0,0,6
v019a,number of calendar columns,no calendar = 0,"haven_labelled, vctrs_vctr, double",0,0,1
v020,ever-married sample,all woman sample = 0 | ever married sample = 1,"haven_labelled, vctrs_vctr, double",0,0,1
v021,primary sampling unit,NA,numeric,0,0,1369
v022,sample strata for sampling errors,sokoto urban = 1 | sokoto rural = 2 | zamfara urban = 3 | zamfara rural = 4 | katsina urban = 5 | katsina rural = 6 | jigawa urban = 7 | jigawa rural = 8 | yobe urban = 9 | yobe rural = 10 | borno urban = 11 | borno rural = 12 | adamawa urban = 13 | adamawa rural = 14 | gombe urban = 15 | gombe rural = 16 | bauchi urban = 17 | bauchi rural = 18 | kano urban = 19 | kano rural = 20 | kaduna urban = 21 | kaduna rural = 22 | kebbi urban = 23 | kebbi rural = 24 | niger urban = 25 | niger rural = 26 | fct urban = 27 | fct rural = 28 | nasarawa urban = 29 | nasarawa rural = 30 | plateau urban = 31 | plateau rural = 32 | taraba urban = 33 | taraba rural = 34 | benue urban = 35 | benue rural = 36 | kogi urban = 37 | kogi rural = 38 | kwara urban = 39 | kwara rural = 40 | oyo urban = 41 | oyo rural = 42 | osun urban = 43 | osun rural = 44 | ekiti urban = 45 | ekiti rural = 46 | ondo urban = 47 | ondo rural = 48 | edo urban = 49 | edo rural = 50 | anambra urban = 51 | anambra rural = 52 | enugu urban = 53 | enugu rural = 54 | ebonyi urban = 55 | ebonyi rural = 56 | cross river urban = 57 | cross river rural = 58 | akwa ibom urban = 59 | akwa ibom rural = 60 | abia urban = 61 | abia rural = 62 | imo urban = 63 | imo rural = 64 | rivers urban = 65 | rivers rural = 66 | bayelsa urban = 67 | bayelsa rural = 68 | delta urban = 69 | delta rural = 70 | lagos urban = 71 | lagos rural = 72 | ogun urban = 73 | ogun rural = 74,"haven_labelled, vctrs_vctr, double",0,0,74
v023,stratification used in sample design,sokoto urban = 1 | sokoto rural = 2 | zamfara urban = 3 | zamfara rural = 4 | katsina urban = 5 | katsina rural = 6 | jigawa urban = 7 | jigawa rural = 8 | yobe urban = 9 | yobe rural = 10 | borno urban = 11 | borno rural = 12 | adamawa urban = 13 | adamawa rural = 14 | gombe urban = 15 | gombe rural = 16 | bauchi urban = 17 | bauchi rural = 18 | kano urban = 19 | kano rural = 20 | kaduna urban = 21 | kaduna rural = 22 | kebbi urban = 23 | kebbi rural = 24 | niger urban = 25 | niger rural = 26 | fct urban = 27 | fct rural = 28 | nasarawa urban = 29 | nasarawa rural = 30 | plateau urban = 31 | plateau rural = 32 | taraba urban = 33 | taraba rural = 34 | benue urban = 35 | benue rural = 36 | kogi urban = 37 | kogi rural = 38 | kwara urban = 39 | kwara rural = 40 | oyo urban = 41 | oyo rural = 42 | osun urban = 43 | osun rural = 44 | ekiti urban = 45 | ekiti rural = 46 | ondo urban = 47 | ondo rural = 48 | edo urban = 49 | edo rural = 50 | anambra urban = 51 | anambra rural = 52 | enugu urban = 53 | enugu rural = 54 | ebonyi urban = 55 | ebonyi rural = 56 | cross river urban = 57 | cross river rural = 58 | akwa ibom urban = 59 | akwa ibom rural = 60 | abia urban = 61 | abia rural = 62 | imo urban = 63 | imo rural = 64 | rivers urban = 65 | rivers rural = 66 | bayelsa urban = 67 | bayelsa rural = 68 | delta urban = 69 | delta rural = 70 | lagos urban = 71 | lagos rural = 72 | ogun urban = 73 | ogun rural = 74,"haven_labelled, vctrs_vctr, double",0,0,74
v024,zone (code are as per sample frame),north west = 1 | north east = 2 | north central = 3 | south east = 4 | south south = 5 | south west = 6,"haven_labelled, vctrs_vctr, double",0,0,6
v025,type of place of residence,urban = 1 | rural = 2,"haven_labelled, vctrs_vctr, double",0,0,2
v026,na - de facto place of residence,"capital, large city = 0 | small city = 1 | town = 2 | countryside = 3","haven_labelled, vctrs_vctr, double",17986,100,0
v027,number of visits,NA,numeric,0,0,2
v028,interviewer identification,NA,numeric,0,0,129
v029,na - keyer identification,NA,numeric,17986,100,0
v030,field supervisor,NA,numeric,0,0,37
v031,na - field editor,NA,numeric,17986,100,0
v032,na - office editor,NA,numeric,17986,100,0
v034,line number of husband,husband not in household = 0,"haven_labelled, vctrs_vctr, double",1064,5.915712220616035,14
v040,cluster altitude in meters,NA,numeric,0,0,575
v042,household selected for hemoglobin,not selected = 0 | selected = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v044,selected for domestic violence module,"woman not selected = 0 | woman selected and interviewed = 1 | woman selected, but privacy not possible = 2 | woman selected, but not interviewed = 3","haven_labelled, vctrs_vctr, double",0,0,4
